Food,Calories (kcal),Serving Size (g),Protein (g)
Foie Gras,462.0,100.0,11.4
Club Sandwich,220.0,100.0,16.0
Cheese Plate,192.0,100.0,6.46
Cup Cakes,356.0,45.0,2.22
Garlic Bread,351.0,57.0,8.77
Gnocchi,150.0,120.0,3.33
Ice Cream,248.0,113.0,2.65
Samosa,310.0,100.0,5.14
Donuts,404.0,57.0,3.51
Tuna Tartare,216.0,100.0,17.4
Filet Mignon,196.0,112.0,15.18
.Ds Store,66.0,100.0,1.61
Seaweed Salad,70.0,100.0,1.0
French Toast,175.0,57.0,7.02
Chicken Curry,107.0,100.0,6.48
Shrimp And Grits,126.0,191.0,8.38
Steak,556.0,100.0,0.0
Cheesecake,351.0,57.0,7.02
Red Velvet Cake,435.0,92.0,3.26
Waffles,300.0,70.0,2.86
Churros,419.0,100.0,6.05
Gyoza,133.0,30.0,3.33
Lobster Roll Sandwich,97.0,100.0,20.9
Huevos Rancheros,121.0,100.0,6.68
Breakfast Burrito,198.0,283.0,8.13
Grilled Cheese Sandwich,288.0,156.0,11.54
Spaghetti Bolognese,112.0,197.0,6.09
Falafel,514.0,100.0,8.28
Poutine,379.0,58.0,10.34
Greek Salad,66.0,319.0,1.88
Beef Tartare,216.0,100.0,17.4
Fried Calamari,234.0,100.0,13.8
Guacamole,143.0,30.0,3.33
Ravioli,213.0,141.0,12.06
Lobster Bisque,148.0,454.0,4.19
Beet Salad,93.0,227.0,1.32
Risotto,157.0,70.0,12.86
Crab Cakes,239.0,113.0,14.16
Strawberry Shortcake,274.0,135.0,2.96
Edamame,106.0,85.0,11.76
Ceviche,63.0,100.0,10.5
Hot And Sour Soup,39.0,100.0,2.58
Spring Rolls,263.0,100.0,9.6
Sashimi,102.0,147.0,19.73
Paella,422.0,45.0,13.33
Clam Chowder,118.0,245.0,3.67
Miso Soup,26.0,100.0,1.92
Escargots,158.0,100.0,20.0
Hot Dog,211.0,57.0,19.3
Pulled Pork Sandwich,168.0,100.0,13.19
Bruschetta,171.0,100.0,4.29
Panna Cotta,220.0,100.0,3.0
Fish And Chips,277.0,100.0,11.01
Pad Thai,155.0,200.0,4.0
Tiramisu,353.0,100.0,5.65
Takoyaki,70.0,40.0,3.0
Macarons,467.0,30.0,10.0
Apple Pie,354.0,113.0,1.77
Cannoli,328.0,95.0,6.32
Scallops,89.0,112.0,15.18
Frozen Yogurt,177.0,96.0,3.12
Chicken Quesadilla,239.0,113.0,14.16
Mussels,109.0,100.0,15.1
Beef Carpaccio,148.0,100.0,18.5
Eggs Benedict,288.0,100.0,13.8
Spaghetti Carbonara,51.0,100.0,1.41
Omelette,56.0,125.0,1.6
Sushi,94.0,100.0,2.92
Chocolate Mousse,269.0,84.0,1.19
Beignets,417.0,100.0,5.46
Bibimbap,76.0,100.0,5.5
Hummus,250.0,28.0,10.71
Pork Chop,190.0,100.0,18.4
Chicken Wings,283.0,113.0,18.58
Grilled Salmon,103.0,116.0,18.1
Chocolate Cake,439.0,66.0,3.03
Tacos,170.0,100.0,6.69
Hamburger,212.0,85.0,3.53
Baby Back Ribs,170.0,112.0,18.75
Pancakes,274.0,62.0,6.45
Prime Rib,335.0,100.0,16.74
Pizza,199.0,141.0,10.64
Nachos,242.0,100.0,11.2
Macaroni And Cheese,101.0,227.0,5.73
Bread Pudding,307.0,113.0,4.42
Ramen,327.0,55.0,12.73
Croque Madame,375.0,40.0,15.0
Lasagna,101.0,217.0,5.53
Peking Duck,154.0,100.0,5.32
Deviled Eggs,286.0,28.0,10.71
French Fries,179.0,84.0,2.38
Dumplings,145.0,76.0,9.21
Fried Rice,183.0,120.0,3.33
French Onion Soup,70.0,285.0,4.21
Pho,77.0,100.0,5.81
Caprese Salad,152.0,191.0,5.76
Oysters,189.0,100.0,4.95
Baklava,440.0,100.0,6.58
Creme Brulee,113.0,100.0,4.06
Carrot Cake,424.0,85.0,2.35
Onion Rings,500.0,28.0,7.14
Caesar Salad,189.0,254.0,5.91
